DATETIME,RAW WATER FLOW IN ML,CLEAR WATER PUMPING FLOW ML,TREATED WATER PRODUCTION IN ML,Capacity Utilisation,Recovery rate,Water lost (MLD)
2021-12-01,48.96553,39.69983,47.38883,0.5095573118279569,0.967799797122588,1.5767000000000024
2021-12-02,77.63675,65.61598000000001,75.13685,0.8079231182795699,0.967800043149668,2.499900000000011
2021-12-03,48.80559,43.41464,47.23406,0.5078931182795698,0.9678002048535833,1.5715300000000028
2021-12-04,48.627539999999996,40.0617,47.061730000000004,0.5060401075268818,0.9677999339468952,1.565809999999992
2021-12-05,55.10133,321.84399,53.32709,0.573409569892473,0.9678004142549735,1.774239999999999
2021-12-06,70.78358,60.92951,68.50435,0.7366059139784946,0.9678000180267797,2.2792299999999983
2021-12-07,63.41353,56.2707,61.37162,0.6599098924731183,0.9678000893500173,2.0419100000000014
2021-12-08,63.299189999999996,57.35457,61.26097,0.6587201075268817,0.9678002198764314,2.0382199999999955
2021-12-09,66.27108,58.67528,64.13716,0.6896468817204301,0.9678001324257881,2.1339200000000034
2021-12-10,66.71665,58.15787,64.56839000000001,0.6942837634408603,0.967800241768734,2.1482599999999934
2021-12-11,60.46538,56.05933,58.51841,0.6292302150537634,0.967800251978901,1.9469700000000003
2021-12-12,71.57441,60.08344,69.26973,0.7448358064516128,0.967800223571525,2.3046800000000047
2021-12-13,58.880810000000004,52.14753,56.98485,0.6127403225806451,0.9678000353595678,1.8959600000000023
2021-12-14,67.79875,61.32726,65.61564,0.7055445161290322,0.9678001438079611,2.183109999999999
2021-12-15,65.69687,56.7858,63.581430000000005,0.6836712903225807,0.9677999880359597,2.1154399999999995
2021-12-16,61.56929,53.62929,59.58674,0.6407176344086022,0.9677996936459718,1.9825500000000034
2021-12-17,63.004380000000005,54.11835,60.97565,0.6556521505376345,0.9678001751624252,2.028730000000003
2021-12-18,66.83376,58.7027,64.68172,0.6955023655913979,0.9678001058147858,2.1520399999999995
2021-12-19,67.46018000000001,58.955290000000005,65.28793,0.7020207526881721,0.967799522622086,2.1722500000000053
2021-12-20,72.22225,61.64963,69.89668,0.7515772043010753,0.9677998123846876,2.325569999999999
2021-12-21,66.51617,58.9874,64.37435,0.6921973118279571,0.9678000101328745,2.1418199999999956
2021-12-22,64.30533,53.78708,62.23471,0.6691904301075269,0.9678001807937228,2.070619999999998
2021-12-23,67.2563,58.44428,65.09065,0.6998994623655913,0.9678000425238974,2.1656499999999994
2021-12-24,66.79468,58.18828,64.64387,0.6950953763440861,0.9677996810524432,2.150809999999993
2021-12-25,67.34556,57.50096,65.17704,0.7008283870967742,0.9678001044166832,2.168520000000001
2021-12-26,65.3445,74.81049,63.2404,0.6800043010752689,0.9677998913451018,2.1040999999999954
2021-12-27,63.38937,55.67662,61.348240000000004,0.659658494623656,0.967800121692328,2.0411299999999954
2021-12-28,70.61815,61.81263,68.34424,0.7348843010752688,0.9677999211250932,2.2739100000000008
2021-12-29,59.411680000000004,327.63362,57.49862,0.6182647311827957,0.9677999342890152,1.9130600000000015
2021-12-30,74.79281,64.02042,72.38451,0.7783280645161291,0.9678003808120059,2.408299999999997
2021-12-31,67.15828,56.26349,64.9958,0.6988795698924731,0.9678002474155085,2.162480000000002
2022-01-01,63.06656,57.17615,61.0358,0.6562989247311828,0.9677997341221719,2.030760000000001
2022-01-02,59.67132,53.7768,57.74989,0.6209665591397849,0.9677997738276948,1.9214300000000009
2022-01-03,60.41086,54.99043,58.46564,0.6286627956989247,0.9678001604347298,1.945219999999999
2022-01-04,70.39896,59.130630000000004,68.13214,0.7326036559139786,0.9678003765964726,2.2668199999999956
2022-01-05,65.39594,55.523630000000004,63.29021,0.6805398924731183,0.9678002946360279,2.105729999999994
2022-01-06,64.40736,55.47122,62.333420000000004,0.6702518279569893,0.9677996427737452,2.0739399999999932
2022-01-07,67.77678,616.07453,65.59433,0.705315376344086,0.9677994439983723,2.182450000000003
2022-01-08,66.36563,84.20413,64.22867000000001,0.6906308602150538,0.9678002001939862,2.1369599999999878
2022-01-09,39.44043,37.64952,38.17046,0.41043505376344086,0.967800300351695,1.2699700000000007
2022-01-10,0.0,0.0,0.0,0.0,,0.0
2022-01-11,18.09029,8.38645,17.50779,0.1882558064516129,0.9678004056319717,0.5824999999999996
2022-01-12,65.32453,57.81007,63.2211,0.6797967741935483,0.9678003041124063,2.103429999999996
2022-01-13,68.45941,59.17718,66.25502,0.7124195698924731,0.9678000438508014,2.2043900000000036
2022-01-14,66.36013,53.421620000000004,64.22333,0.6905734408602151,0.9677999425257305,2.136799999999994
2022-01-15,64.39775,61.07124,62.324130000000004,0.670151935483871,0.9677998066702641,2.0736199999999982
2022-01-16,70.43383,243.61685,68.16586000000001,0.7329662365591398,0.967799990430735,2.267969999999991
2022-01-17,71.75413,59.28233,69.44365,0.7467059139784947,0.9678000416143294,2.3104799999999983
2022-01-18,60.59042,325.02456,58.6394,0.630531182795699,0.9677998601098986,1.9510199999999998
2022-01-19,64.88114,59.28306,62.791940000000004,0.6751821505376344,0.967799579353877,2.089199999999998
2022-01-20,71.17316,60.32673,68.8814,0.7406602150537634,0.967800221319385,2.2917599999999965
2022-01-21,42.96255,33.96957,41.57914,0.44708752688172043,0.9677996301429966,1.3834099999999978
2022-01-22,68.74738,62.16812,66.53372,0.7154163440860215,0.967800081981306,2.2136600000000044
2022-01-23,71.56568,344.06365999999997,69.26128,0.7447449462365592,0.9678002081444625,2.304400000000001
2022-01-24,76.28547,882.14611,73.82906,0.7938608602150538,0.9677997658007481,2.4564100000000053
