DateTime,id,AQI
2022-01-16,ID004,33.0
2022-01-23,ID004,33.0
2022-01-30,ID004,33.0
2022-02-06,ID004,33.0
2022-02-13,ID004,33.0
2022-02-20,ID004,33.0
2022-02-27,ID004,33.005025125628144
2022-03-06,ID004,33.0
2022-03-13,ID004,33.0
2022-03-20,ID004,33.0
2022-03-27,ID004,33.0
2022-04-03,ID004,33.0
2022-04-10,ID004,33.00813008130081
2022-04-17,ID004,33.0
2022-04-24,ID004,33.0
2022-05-01,ID004,33.0
2022-05-08,ID004,33.0
2022-05-15,ID004,33.0
2022-05-22,ID004,33.0
2022-05-29,ID004,33.0
2022-06-05,ID004,33.0
2022-06-12,ID004,33.0
2022-06-19,ID004,33.0
2022-06-26,ID004,33.0
2022-07-03,ID004,33.0
2022-07-10,ID004,33.0
2022-07-17,ID004,33.0
2022-07-24,ID004,33.0
2022-07-31,ID004,33.0
2022-08-07,ID004,33.0
2022-08-14,ID004,33.0
2022-08-21,ID004,33.0
2022-08-28,ID004,33.0
2022-09-04,ID004,33.0
2022-09-11,ID004,33.0
2022-09-18,ID004,33.0
2022-09-25,ID004,33.0
2022-10-02,ID004,33.018181818181816
2022-10-09,ID004,33.0059880239521
2022-10-16,ID004,33.0
2021-10-17,ID005,204.43037974683546
2021-10-24,ID005,186.33858267716536
2021-10-31,ID005,119.808
2021-11-07,ID005,169.24193548387098
2021-11-14,ID005,171.16666666666666
2021-11-21,ID005,113.21551724137932
2021-11-28,ID005,120.17834394904459
2021-12-05,ID005,157.27966101694915
2021-12-12,ID005,130.08333333333334
2021-12-19,ID005,95.25454545454545
2021-12-26,ID005,95.59550561797752
2022-01-02,ID005,99.76760563380282
2022-01-09,ID005,94.95238095238095
2022-01-16,ID005,84.0
2022-01-23,ID005,44.0
2022-01-30,ID005,89.3225806451613
2022-02-06,ID005,78.96875
2022-02-13,ID005,65.0
2022-02-20,ID005,93.89068825910931
2022-02-27,ID005,43.0
2022-03-06,ID005,43.0
2022-03-13,ID005,43.0
2022-03-20,ID005,43.0
2022-03-27,ID005,43.0
2022-04-03,ID005,43.0
2022-04-10,ID005,43.0
