Unnamed: 0,ID,MeterId,Time,Phase1_W,Phase1_I,Phase1_V_RY,Phase1_pf,Phase2_W,Phase2_I,Phase2_V_YB,Phase2_pf,Phase3_W,Phase3_I,Phase3_V_BR,Phase3_pf,W,VA,PF,KWh_Im,KWh_Ex,KVAh,Lh
29,200,3,2024-10-11 14:57:53,0.0,0.0,0.058,1.0,0.0,0.0,0.038,1.0,0.0,0.0,0.073,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
30,200,5,2024-10-11 14:57:56,-50924.589,235.309,420.223,-0.884,-46415.229,215.17,420.101,-0.894,-47138.386,225.785,425.375,-0.852,-144563.765,164622.125,-0.877,0.15,10890.369,12406.32,0
31,200,6,2024-10-11 14:57:58,0.0,0.0,0.077,1.0,0.0,0.0,0.077,1.0,0.0,0.0,0.165,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
32,200,1,2024-10-11 14:59:01,-39441.976,187.037,422.476,-0.855,44572.387,204.209,423.732,0.898,-48754.733,224.302,428.999,-0.867,-43475.175,52638.887,-0.825,0.17,3833.68,4441.01,0
33,200,2,2024-10-11 14:59:04,-49792.026,228.98,423.352,-0.881,-45040.323,205.764,422.42,-0.9,-44115.437,209.79,428.995,-0.853,-138947.687,157998.469,-0.878,0.17,12371.22,14082.141,0
34,200,3,2024-10-11 14:59:14,0.0,0.0,0.0,1.0,0.0,0.0,0.022,1.0,0.0,0.0,0.066,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
35,200,5,2024-10-11 14:59:17,-51092.655,236.154,424.768,-0.875,-47420.733,216.824,422.143,-0.899,-45996.507,219.475,428.97,-0.851,-144594.671,165022.016,-0.875,0.15,10893.631,12410.04,0
36,200,6,2024-10-11 14:59:19,0.0,0.0,0.063,1.0,0.0,0.0,0.044,1.0,0.0,0.0,0.088,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
37,200,1,2024-10-11 15:00:22,-39073.667,186.545,423.0,-0.852,45170.754,207.332,425.648,0.896,-48727.401,226.159,430.291,-0.872,-42630.21,51477.203,-0.821,0.17,3834.65,4442.17,0
38,200,2,2024-10-11 15:00:25,-49667.737,229.261,425.538,-0.875,-45873.112,208.429,422.615,-0.903,-43697.312,207.124,429.958,-0.856,-139286.983,158401.344,-0.878,0.17,12374.369,14085.72,0
39,200,3,2024-10-11 15:00:27,0.0,0.0,0.058,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.044,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
40,200,5,2024-10-11 15:00:30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
41,200,6,2024-10-11 15:00:33,0.0,0.0,0.063,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.117,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
42,200,1,2024-10-11 15:01:35,-40402.319,192.213,422.161,-0.851,43736.035,201.99,421.189,0.891,-48949.632,224.285,427.504,-0.887,-45615.917,54089.551,-0.842,0.17,3835.54,4443.23,0
43,200,2,2024-10-11 15:01:38,-49883.335,228.285,421.018,-0.891,-44174.069,203.61,422.014,-0.895,-45340.503,215.833,427.116,-0.853,-139457.921,158282.688,-0.88,0.17,12377.19,14088.93,0
44,200,3,2024-10-11 15:01:41,0.0,0.0,0.058,1.0,0.0,0.0,0.038,1.0,0.0,0.0,0.07,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
45,200,5,2024-10-11 15:01:43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
46,200,6,2024-10-11 15:01:46,0.0,0.0,0.099,1.0,0.0,0.0,0.077,1.0,0.0,0.0,0.177,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
47,200,1,2024-10-11 15:02:49,-41319.878,195.585,431.389,-0.843,43768.223,203.862,429.306,0.866,-47900.952,219.594,434.082,-0.877,-45536.097,53030.273,-0.858,0.17,3836.45,4444.32,0
48,200,2,2024-10-11 15:02:51,-49079.964,221.049,428.609,-0.891,-44056.909,201.676,430.84,-0.882,-46340.261,216.032,433.936,-0.855,-139477.14,159007.031,-0.877,0.17,12380.04,14092.17,0
49,200,3,2024-10-11 15:02:54,0.0,0.0,0.058,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.077,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
50,200,5,2024-10-11 15:02:56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
51,200,6,2024-10-11 15:02:59,0.0,0.0,0.044,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.108,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
52,200,1,2024-10-11 15:04:02,-42821.843,417.534,339.814,-0.653,46166.059,452.346,339.665,0.625,-48281.741,460.594,343.904,-0.624,-43296.319,69526.336,-0.622,0.17,3837.37,4445.39,0
53,200,2,2024-10-11 15:04:04,-49904.827,230.856,416.15,-0.895,-43897.065,205.726,417.462,-0.893,-45893.812,220.816,422.017,-0.854,-139695.608,158362.125,-0.881,0.17,12382.87,14095.4,0
54,200,3,2024-10-11 15:04:07,0.0,0.0,0.058,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.054,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
55,200,5,2024-10-11 15:04:10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
56,200,6,2024-10-11 15:04:12,0.0,0.0,0.077,1.0,0.0,0.0,0.044,1.0,0.0,0.0,0.117,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
57,200,1,2024-10-11 15:05:15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
58,200,2,2024-10-11 15:05:18,-49621.093,223.961,426.994,-0.892,-43952.921,201.418,429.326,-0.885,-46236.272,217.027,432.886,-0.852,-139790.874,159153.016,-0.877,0.17,12385.71,14098.631,0
59,200,3,2024-10-11 15:05:20,0.0,0.0,0.049,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.063,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
60,200,5,2024-10-11 15:05:23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
61,200,6,2024-10-11 15:05:25,0.0,0.0,0.063,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.099,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
62,200,1,2024-10-11 15:06:28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
